title,release_year,runtime,genre,rating,gross(M)
Howl's Moving Castle,2004,119 min,Adventure,8.2,4.71
Howl's Moving Castle,2004,119 min,Family,8.2,4.71
Casino,1995,178 min,Crime,8.2,42.44
Casino,1995,178 min,Drama,8.2,42.44
Finding Nemo,2003,100 min,Animation,8.2,380.84
Finding Nemo,2003,100 min,Adventure,8.2,380.84
Finding Nemo,2003,100 min,Comedy,8.2,380.84
Kill Bill: Vol. 1,2003,111 min,Action,8.2,70.1
Kill Bill: Vol. 1,2003,111 min,Crime,8.2,70.1
Kill Bill: Vol. 1,2003,111 min,Thriller,8.2,70.1
L.A. Confidential,1997,138 min,Crime,8.2,64.62
L.A. Confidential,1997,138 min,Drama,8.2,64.62
L.A. Confidential,1997,138 min,Mystery,8.2,64.62
A Beautiful Mind,2001,135 min,Biography,8.2,170.74
A Beautiful Mind,2001,135 min,Drama,8.2,170.74
The Sixth Sense,1999,107 min,Drama,8.2,293.51
The Sixth Sense,1999,107 min,Mystery,8.2,293.51
The Sixth Sense,1999,107 min,Thriller,8.2,293.51
The Father,2020,97 min,Drama,8.2,0
The Father,2020,97 min,Mystery,8.2,0
Die Hard,1988,132 min,Action,8.2,83.01
Die Hard,1988,132 min,Thriller,8.2,83.01
The Great Escape,1963,172 min,Adventure,8.2,12.1
The Great Escape,1963,172 min,Drama,8.2,12.1
The Great Escape,1963,172 min,History,8.2,12.1
Unforgiven,1992,130 min,Drama,8.2,101.16
Unforgiven,1992,130 min,Western,8.2,101.16
Downfall,2004,156 min,Biography,8.2,5.51
Downfall,2004,156 min,Drama,8.2,5.51
Downfall,2004,156 min,History,8.2,5.51
Monty Python and the Holy Grail,1975,91 min,Adventure,8.2,1.23
Monty Python and the Holy Grail,1975,91 min,Comedy,8.2,1.23
Monty Python and the Holy Grail,1975,91 min,Fantasy,8.2,1.23
Chinatown,1974,130 min,Drama,8.2,8.49
Chinatown,1974,130 min,Mystery,8.2,8.49
Chinatown,1974,130 min,Thriller,8.2,8.49
V for Vendetta,2005,132 min,Action,8.2,70.51
V for Vendetta,2005,132 min,Drama,8.2,70.51
V for Vendetta,2005,132 min,Sci-Fi,8.2,70.51
Pan's Labyrinth,2006,118 min,Drama,8.2,37.63
Pan's Labyrinth,2006,118 min,Fantasy,8.2,37.63
Pan's Labyrinth,2006,118 min,War,8.2,37.63
Gone with the Wind,1939,238 min,Drama,8.2,198.68
Gone with the Wind,1939,238 min,Romance,8.2,198.68
Gone with the Wind,1939,238 min,War,8.2,198.68
Demon Slayer the Movie: Mugen Train,2020,117 min,Animation,8.2,47.7
Demon Slayer the Movie: Mugen Train,2020,117 min,Action,8.2,47.7
Demon Slayer the Movie: Mugen Train,2020,117 min,Adventure,8.2,47.7
The Elephant Man,1980,124 min,Biography,8.2,0
The Elephant Man,1980,124 min,Drama,8.2,0
Some Like It Hot,1959,121 min,Comedy,8.2,25
Some Like It Hot,1959,121 min,Music,8.2,25
Some Like It Hot,1959,121 min,Romance,8.2,25
The Secret in Their Eyes,2009,129 min,Drama,8.2,6.39
The Secret in Their Eyes,2009,129 min,Mystery,8.2,6.39
The Secret in Their Eyes,2009,129 min,Romance,8.2,6.39
Ran,1985,162 min,Action,8.2,4.14
Ran,1985,162 min,Drama,8.2,4.14
Ran,1985,162 min,War,8.2,4.14
For a Few Dollars More,1965,132 min,Drama,8.2,15
For a Few Dollars More,1965,132 min,Western,8.2,15
Tumbbad,2018,104 min,Drama,8.2,0
Tumbbad,2018,104 min,Fantasy,8.2,0
Tumbbad,2018,104 min,Horror,8.2,0
Drishyam 2,2022,140 min,Crime,8.2,0
Drishyam 2,2022,140 min,Drama,8.2,0
Drishyam 2,2022,140 min,Mystery,8.2,0
Klaus,2019,96 min,Animation,8.2,0
Klaus,2019,96 min,Adventure,8.2,0
Klaus,2019,96 min,Comedy,8.2,0
All About Eve,1950,138 min,Drama,8.2,0.01
Dial M for Murder,1954,105 min,Crime,8.2,0.01
Dial M for Murder,1954,105 min,Thriller,8.2,0.01
Gangs of Wasseypur,2012,321 min,Action,8.2,0
Gangs of Wasseypur,2012,321 min,Comedy,8.2,0
Gangs of Wasseypur,2012,321 min,Crime,8.2,0
Miracle in Cell No. 7,2019,132 min,Drama,8.2,0
Rashomon,1950,88 min,Crime,8.2,0.1
Rashomon,1950,88 min,Drama,8.2,0.1
Rashomon,1950,88 min,Mystery,8.2,0.1
The Treasure of the Sierra Madre,1948,126 min,Adventure,8.2,5.01
The Treasure of the Sierra Madre,1948,126 min,Drama,8.2,5.01
The Treasure of the Sierra Madre,1948,126 min,Western,8.2,5.01
Yojimbo,1961,110 min,Action,8.2,0
Yojimbo,1961,110 min,Drama,8.2,0
Yojimbo,1961,110 min,Thriller,8.2,0
Baahubali 2: The Conclusion,2017,167 min,Action,8.2,20.19
Baahubali 2: The Conclusion,2017,167 min,Drama,8.2,20.19
Drishyam,2015,163 min,Crime,8.2,0.74
Drishyam,2015,163 min,Drama,8.2,0.74
Drishyam,2015,163 min,Mystery,8.2,0.74
Z,1969,127 min,Crime,8.2,0.08
Z,1969,127 min,Drama,8.2,0.08
Z,1969,127 min,Thriller,8.2,0.08
Tokyo Story,1953,136 min,Drama,8.2,0
Zindagi Na Milegi Dobara,2011,155 min,Comedy,8.2,3.11
Zindagi Na Milegi Dobara,2011,155 min,Drama,8.2,3.11
Zindagi Na Milegi Dobara,2011,155 min,Musical,8.2,3.11
Uri: The Surgical Strike,2019,138 min,Action,8.2,4.19
Uri: The Surgical Strike,2019,138 min,Drama,8.2,4.19
Uri: The Surgical Strike,2019,138 min,History,8.2,4.19
Andhadhun,2018,139 min,Crime,8.2,1.37
Andhadhun,2018,139 min,Mystery,8.2,1.37
Andhadhun,2018,139 min,Thriller,8.2,1.37
Children of Heaven,1997,89 min,Drama,8.2,0.93
Children of Heaven,1997,89 min,Family,8.2,0.93
Children of Heaven,1997,89 min,Sport,8.2,0.93
To Be or Not to Be,1942,99 min,Comedy,8.2,0
To Be or Not to Be,1942,99 min,Romance,8.2,0
To Be or Not to Be,1942,99 min,War,8.2,0
The Wages of Fear,1953,131 min,Adventure,8.2,0
The Wages of Fear,1953,131 min,Drama,8.2,0
The Wages of Fear,1953,131 min,Thriller,8.2,0
The Passion of Joan of Arc,1928,114 min,Biography,8.2,0.02
The Passion of Joan of Arc,1928,114 min,Drama,8.2,0.02
The Passion of Joan of Arc,1928,114 min,History,8.2,0.02
Pather Panchali,1955,125 min,Drama,8.2,0.54
K.G.F: Chapter 1,2018,156 min,Action,8.2,0
